code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1426-W3;PETRA APLİK 2L;;METAL VE MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;G9;N/A;2500
PND1691-C;"MARCOAVİZE/CHANDELIER;35 Q;ÜRÜN METALVE AKRİLİK MALZEMEDEN OLUŞMAKTADIR.ŞEFFAF RENK MEVCUTTUR.;E14x4;16500;23100
PND1266-A; SOFIA 10 L SARKIT/PENDANT;UZUNLUK:100cm KABLO BOYU:80CM; ÜRÜN PASLANMAZ VE CAMDAN OLUŞMAKTADIR İSTENİLEN CAM RENGİÜRETİLMEKTEDİR;19750;27650;
HASIR-1;Hasır sarkıt büyük;25cm 50cm; ; E27;YOK;;8900;  
HASIR-2;Hasır sarkıt; 35cm 120 cm; ; E27;;;13500;
HASIR-3;Hasır sarkır; ; ;;;;3900;
HASIR-4;Hasır;;;;;1750;
PND1328-ST; "LOTUS 1L SARKIT/PENDANT;30X18X100 CM;METAL MALZEME ROZANS KRİSTAL CAMDAN OLUŞMAKTADIR;G9;;3750;5250"
PND1318;BOMP LAMBADER;48X140 CM;METAL VE ÜFLEME CAM. CAM RENGİ İSTENİLEN RENK BOYANA BİLİR; E25;;19600;26600;
PND1238;"İSTRİDYE YUVARLAK";"ÇAP 50CM METAL VE CAM"; E14;15200;21000;
PND1238-L;"İSTRİDYE LİNEAR";"80X40 CM METAL VE CAM"; E14;15200;21000;
PND1426-W3;"PETRAAPLİK3L ";"41CMX15CM PİRİNÇROZANS";STRP LED;2250;3150;
PND1426-W5;"PETRAAPLİK5L ";"75CMX15CM PİRİNÇROZANS";STRP LED;3750;5250;
PND1426-W7;"PETRAAPLİK7L ";"110CMX15CM PİRİNÇROZANS";STRP LED;5250;7350;
PND1426;PETRAOVALAVİZE/CHANDELIER;"100X 42X17CM";STRP LED;32500;45500;
PND1426-A;PETRAYUVARLAKAVİZE/CHANDELIER;"60X17CM ";STRP LED;27500;38500;
PND1426-B;PETRALİNERAVİZE/CHANDELIER;"85X15X80CM ";STRP LED;46200;64500;
FS-468;TRAVERTER SUTUN;60X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;8980;13000;
FS-469;TRAVERTER SUTUN;100X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;11200;16000;
FS-467;TRAVERTER SUTUN;80X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;9900;14000;
PND1729;LİZ SARKIT;60 CM ;AHŞAP  MALZEME CNS KESİM TASARIM  NATUREL AHŞAP RENK OLUP, 3000 K IŞIK RENGİNE SAHİPTİR STOKLARLA SINIRLIDIR;COB LED;VAR;8100;11340;2.700,00 TL
PND1729-B;LİZ SARKIT;80 CM ;AHŞAP  MALZEME CNS KESİM TASARIM  NATUREL AHŞAP RENK OLUP, 3000 K IŞIK RENGİNE SAHİPTİR STOKLARLA SINIRLIDIR;COB LED;VAR ;13500;18900;4.500,00 TL
PND1699-A;SHADOW SARKIT ;16X48 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED;VAR ;5700;7980;1.900,00 TL
PND1699-B;SHADOW SARKIT ;18X48 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED;VAR ;6450;9030;2.150,00 TL
